iter	RMSE
0	1159.563394
1	1135.212706
2	1112.684283
3	1090.684019
4	1069.205446
5	1048.836424
6	1028.158175
7	1009.518292
8	990.4244099
9	972.4032804
10	953.9291161
11	935.5962091
12	917.1401685
13	900.5540248
14	883.2985753
15	866.5969102
16	850.9436985
17	835.2089284
18	821.4301979
19	806.4523778
20	792.2594996
21	778.9513338
22	765.1853227
23	751.8100547
24	739.8349536
25	727.0111688
26	714.6904119
27	702.4299196
28	690.0335524
29	678.800501
30	667.6839191
31	656.1662722
32	646.4796027
33	636.3357063
34	626.3076902
35	617.6199933
36	607.7869191
37	599.6356061
38	590.6908747
39	581.5946423
40	573.0513368
41	564.4469978
42	556.579868
43	548.8645775
44	542.5100255
45	536.1016727
46	529.3076411
47	522.3892645
48	514.3457848
49	507.7603166
50	501.5659588
51	495.3771125
52	489.5550403
53	482.3249
54	477.1182778
55	471.922426
56	467.9421641
57	464.0914186
58	458.5163756
59	453.9111934
60	448.8323629
61	443.3776598
62	438.0253872
63	433.2182304
64	428.4640767
65	424.9123871
66	420.2525814
67	416.1450959
68	411.6474038
69	407.7359581
70	404.0475645
71	400.6515138
72	397.4694027
73	393.9170005
74	390.0152818
75	386.1805739
76	382.9938532
77	379.7889162
78	376.8422395
79	372.8401867
80	369.1745865
81	366.7374833
82	363.1079234
83	359.5422164
84	356.7233332
85	353.9016641
86	350.7577109
87	347.4737208
88	344.6920511
89	341.73603
90	339.7229156
91	337.0339167
92	334.445569
93	331.6457682
94	329.5181887
95	326.9821972
96	323.4607379
97	320.8147133
98	317.5367447
99	314.9993922
100	312.0641667
101	309.5176992
102	307.330668
103	304.8146185
104	302.544569
105	300.5593374
106	298.9454072
107	296.4023878
108	294.246511
109	292.1227165
110	289.3584732
111	287.3047992
112	285.5910423
113	284.0204026
114	282.0130229
115	280.2287755
116	278.1254179
117	276.460885
118	274.7100965
119	272.5882077
120	270.9271097
121	269.3655561
122	267.3279902
123	265.3233343
124	263.7028459
125	262.3526067
126	260.5683686
127	258.7224684
128	257.1031462
129	255.6692242
130	254.0888611
131	252.6372445
132	250.7370835
133	249.8289651
134	248.4028071
135	247.0110603
136	245.4809973
137	244.2824252
138	243.5042335
139	242.8218708
140	241.4003488
141	240.4229995
142	239.0008069
143	237.8743633
144	237.0097767
145	236.4798331
146	235.3746776
147	234.2969347
148	233.1534421
149	232.4647002
150	230.708535
151	229.622946
152	229.5523379
153	228.5167622
154	227.5955967
155	226.3085123
156	226.2244955
157	225.2058271
158	224.3099814
159	223.2599
160	222.4608457
161	221.8001703
162	221.2005927
163	220.2412259
164	219.6505557
165	218.430904
166	218.1937035
167	217.6353051
168	216.8215447
169	216.3623579
170	215.9350952
171	215.7472667
172	215.3784981
173	215.2995464
174	214.9106175
175	214.8517616
176	214.3861439
177	213.6360539
178	212.8961661
179	211.777531
180	210.6237671
181	209.8969039
182	209.7780668
183	208.9907266
184	208.9095809
185	208.2072824
186	207.170214
187	206.6964955
188	205.7854205
189	205.0207894
190	204.2714631
191	204.1018082
192	203.552203
193	203.4744186
194	202.6316558
195	202.521846
196	202.146337
197	201.6665126
198	200.8298938
199	199.5860682
200	199.1803899
201	198.9106632
202	198.5661492
203	197.8796792
204	197.333212
205	197.2649458
206	197.2210025
207	196.7571844
208	195.5957019
209	195.5363952
210	194.8866517
211	194.1382437
212	193.9448811
213	192.701313
214	192.5718999
215	192.4800364
216	191.5764231
217	191.463074
218	190.3206427
219	189.6054072
220	189.1365766
221	188.8422293
222	188.7812554
223	188.3868703
224	187.873844
225	187.02151
226	186.6220826
227	186.3978172
228	185.8004303
229	185.0770689
230	184.1627197
231	183.8260464
232	183.4038407
233	182.7476858
234	182.062663
235	181.5507281
236	181.4787754
237	181.2540077
238	181.1137714
239	181.0013068
240	180.5821682
