iter	RMSE
0	466.1930287
1	463.0550688
2	459.2175888
3	457.4088893
4	455.582686
5	453.2838181
6	452.4276162
7	450.2850472
8	448.5203628
9	446.2307911
10	443.7300954
11	441.2656596
12	438.7314104
13	435.3762954
14	432.3321779
15	429.5636454
16	426.2693642
17	423.7578623
18	419.7519565
19	417.2497561
20	416.9536912
21	414.3631684
22	411.2813766
23	409.0987487
24	406.3500377
25	403.7215749
26	400.4225421
27	398.2973404
28	395.4458094
29	394.6183574
30	392.4019038
31	390.9460318
32	387.414662
33	384.7561211
34	381.8394081
35	379.5292902
36	377.8291879
37	375.1387593
38	372.800943
39	372.5675528
40	372.2814315
41	369.8747266
42	367.3796607
43	366.9530118
44	366.4309468
45	363.8118177
46	362.3469432
47	361.2186895
48	360.7905343
49	358.6211915
50	358.0212809
51	356.2090227
52	354.1814628
53	353.7954296
54	352.7017473
55	350.9901109
56	350.4120393
57	347.4336922
58	345.3996935
59	343.7048739
60	341.7493169
61	339.6275824
62	338.1201501
63	335.8765705
64	335.386894
65	333.5296838
66	331.9251839
67	329.4372587
68	327.5253822
69	327.2597275
70	325.9254165
71	324.419249
72	321.8565611
73	319.4839424
74	316.8316883
75	314.9557458
76	313.4987082
77	312.8072737
78	310.3156517
79	308.9274261
80	308.7362189
81	307.004118
82	306.5695349
83	303.9670796
84	302.5391166
85	300.4081524
86	298.5482808
87	296.7173196
88	294.3294284
89	293.3135267
90	291.4996388
91	289.8577196
92	288.630365
93	286.4392102
94	284.4111911
95	283.1230696
96	281.5928346
97	281.1842876
98	279.4048352
99	277.4452178
100	276.2066384
101	275.829711
102	273.7598093
103	271.8754642
104	270.7616408
105	269.3565559
106	267.9675497
107	266.7782225
108	264.8183787
109	263.4389553
110	262.1210715
